"","AlignID","Factor","tmean","FoundIn","4_Blanco","15_QC1_4","21_Qc2_2","28_Qc3_3","34_Qc1_2","41_Qc2_4","44_Qc2_5","45_Qc3_2","7_Qc1_5","8_Qc2_3","10_RIG003_1","11_Sample_FIED001_2","12_Sample_RGY001_3","13_Sample_RIG003_3","14_Sample_RYTA006_2","16_Sample_RYMG001_3","17_Sample_RGY001_1","18_Sample_FIED001_1","19_Sample_RYMG001_2","20_Sample_ER001_1","22_Sample_ATA001_2","23_RIG003_2","25_Sample_RYTA006_3","26_Sample_RYTA006_1","27_Sample_RIG005_3","29_Sample_RGB004_1","30_Sample_RGB004_3","31_Sample_FIED001_3","32_Sample_ATA001_3","33_Sample_ATA001_1","35_Sample_RGY001_2","36_Sample_RGB004_2","37_Sample_RIG005_1","38_Sample_ER001_2","40_Sample_RYMG001_1","42_Sample_RIG005_2","43_Sample_ER001_3"
"88",88,"Factor #88",9.0635,37,29.05758,30.72396,36.93156,86.71662,34.09253,161.2442,74.83662,76.56651,49.24197,58.8373,4661.948,24.84555,71.36876,4276.154,75.9723,8.477852,59.5762,43.30397,21.96011,48.37131,118.1914,109.8502,492.403,118.9787,70.49685,505,457,31.30946,36.29366,131.4262,48.88803,581,22.54235,159.5517,374.3783,72.5524,170.7336
"89",89,"Factor #89",9.0958,37,15.07369,15743.32,16664.68,45739.21,6920.268,3598.866,3019.946,5891.769,14991.2,22125.68,200474.2,1746.315,737.0865,273527.2,622,941.5187,629.6802,790.449,610.8802,702,928,159271.3,1633,943,7258.39,680.0551,555.0297,1520.849,998,1017,524.875,342.7038,2383.165,752,968.4285,876.57,787
"91",91,"Factor #91",9.1327,37,119.4348,41817.07,76320,80470.86,23419.86,59293.94,44980.61,60950,54086.48,90589.75,918360.7,5254.633,2195,1051326,2756.27,3465.44,2353.24,3723.815,3295.389,2936.097,3268.2,1078581,894.0099,768.9586,15576,1478.952,1245.41,3562.712,3449.105,2958.168,1775,1581.543,13670.75,3619.206,3150.292,18596.35,3663.773
"92",93,"Factor #93",9.1336,37,97.40844,31168.91,11516,58487.17,16500.99,45564.13,35276.01,47176.86,40609.64,67166.77,669208.5,3501,1699.152,751657.7,1838,2715.094,1755.897,2595.752,2614.951,2225.152,2436.287,801198.5,746.235,603.0533,13444.44,1331.466,1128.916,2802.938,2631.838,2247.172,1638.916,1300.361,10444.84,2680.875,2538.413,12815.32,2787.404
"93",90,"Factor #90",9.1349,37,119.4348,41817,76320,80471,23420,59294,44981,60950,54086,90590,918361,5255,2536,1051326,2722,3465,2353,3724,3295,2936,3268,1078581,867,768.9586,15576,1838,1665.259,3563,3449,3048,2002.893,1957,13671,3619,3150,18596,3664
"94",94,"Factor #94",9.1453,37,66.98767,13143.72,23984.72,24348.5,7358.172,18640.21,14178.72,19119,16995.28,28453.63,288304.3,1654.018,154.7481,329882.3,509.9592,291.6784,365.4279,1171.594,1040.772,366.1165,308.5001,338745.5,211.0462,162.203,4721.993,5517,4836,375.5342,349.9497,372.4104,312.7487,6010,4300.644,648.5503,341.9902,3191.369,415.7837
"96",100,"Factor #100",9.3541,37,24.59762,3329.21,3315.539,3922.133,2097,4374.565,2570.872,1117,2457.818,3180.492,1881,810.5623,1851.675,1897.164,642.8287,1005.351,1403.971,698.833,806.3004,198.3382,18178.15,2458.841,1054.215,740.6936,710.5114,9780.583,7589.875,1279.642,19766.65,17668.71,2294.164,8564.096,1223.611,581.5204,1419.325,576.3621,241.5708
"97",97,"Factor #97",9.3815,37,78.29655,4796.501,4820,5952,6156,5434,5658,5961,4459.723,4837,1832,1288.935,2162.775,2457.35,1053.528,1609.125,2280.136,1127.542,1325.015,412.239,27262.38,3670.2,1268,1016,1086.892,13857.92,13709.88,2281.38,30756.4,28018,3754.748,12381,1800.518,752.2887,1827,1300.796,715.261
"99",96,"Factor #96",9.4153,37,225.2464,4939,4938,5856,8000,6186,6228,6172,4944,4550,1818.279,1650,2586,2533,1348,1966,2486,1508,1720,517,28117,4800,1441,1517,1135,14015,13710,2622,30756,31992,3755,13188,2142,916,1959,1760,833
"100",99,"Factor #99",9.4166,37,225.2464,3939,4938,5856.127,8102.811,6186.229,6227.635,5431,4943.672,4787.216,1818.279,1650.319,2586,3437.756,1348,1965.842,2485.571,1508.166,1720,514,28117,4799.81,1441,1516.769,1135.472,14015,13709.88,2622,30756.4,31991.59,3755,13188,2142.315,915.6448,1827,1773.978,883.0697
"101",98,"Factor #98",9.4568,37,203.885,836.8899,4024.983,1097,4745.629,844,4160.244,3003.143,894,1047.053,6610,943.4946,1994.212,7754,818.5148,1504.93,1198.804,1163.818,1109.731,437.4828,9439.417,8789,1052.188,797.3899,562.6944,2323.46,2527.874,1464.053,2926.921,6229.373,2064.752,3592.434,1401.934,712.776,1224.589,1179.676,676.4229
"103",103,"Factor #103",9.5314,37,31.18037,34.50907,16.87435,23.77094,8.710563,50.47166,56.91429,29.16536,36.88444,14.58194,442.0746,24.34508,9.413266,413.3864,40.62581,57.56925,40.31227,43.16976,67.60567,51.38686,64.94572,935.4074,6.46321,19.07861,456,40.41352,60.52968,16.17079,77.82181,54.79697,26.09918,27.97584,622,26.17433,119.2836,664,22.78045
"104",105,"Factor #105",9.6341,37,38.96863,1105.736,1595.219,1469.719,533.5384,1248.074,1326.192,1258.609,1490.486,1809.696,20850.16,246.4794,75.47861,20567.1,52.29772,93.17898,133.1104,186.7606,77.29876,52.35587,340.1373,25449.33,34.44885,37.60056,1377,199.7647,145.403,199.0587,382.8195,337.3474,104.7424,116.7261,1088,20.4639,78.76791,1452,81.39161
"105",104,"Factor #104",9.6515,37,39.06881,1096,1595,1470,534,1248,1326.192,1259,1490,1762,20850,246.4794,75.47861,23660,25.71584,89.78508,133.1104,155.8009,52.29334,48.91928,174.6983,25449,21.89944,31.32971,481.5003,185.6062,145.403,174.191,152.7513,326.0476,104.7424,116.2467,891.1978,32.20958,77.66781,513.3204,81.39161
"107",107,"Factor #107",9.8685,37,34.89002,139.145,152.7811,142.2688,93.52824,140.8261,169.4594,157.9321,160.7174,193.8398,855,121.9321,50.30611,974,22.40504,64.89956,40.73233,123.5759,79.56191,30.74364,51.11629,1028,32.09507,40.86539,235.3172,428.6548,371.3846,145.4944,46.11641,59.07956,60.37374,447.9428,268.9037,38.25145,45.10796,314.6066,28.98136
"109",109,"Factor #109",10.0435,37,64.66948,269.4715,271.4045,397.0067,198.9731,243.419,292.9247,261.4841,420.3248,268.9435,1902,201.0344,88.83265,1784.515,59.12475,76.87069,114.0807,171.286,96.32922,48.43709,75.66247,1734.453,56.27774,53.13183,534,781,765,167.4241,93.01184,61.74753,92.39363,812,477,44.00609,97.51595,589,49.55329
"110",110,"Factor #110",10.0596,37,82.56819,2758,3512,3095,1458,2887,2928,2905,3258,3879,33901,608.9899,177.082,38578,110.3851,163.6894,200.2162,584,160.6804,115.4608,122.5606,42185,35.11936,26.61937,762,244.0079,255.6525,583,172.6279,100.9306,180.782,202.4993,815,158.6577,159.5478,975,134.6227
"111",111,"Factor #111",10.0991,37,25.73781,278.0176,393.7569,342,102.0849,256,252.1753,312,291.7813,401,2548.904,31.39097,59.54937,2943.087,54.36387,570,46.47019,77.72087,673,58.84251,108.3326,1701.75,60.47993,31.25751,1922,41.88023,62.81443,97.60143,110.7868,81.24831,76.86167,37.96284,1663,62.56415,708,2139,40.25384
"112",112,"Factor #112",10.1539,37,27.84663,78.20982,766,653,405.9497,1446,216.9388,728,43.62944,1000,683.033,78.58075,771,155.0587,46.43286,32.01117,134.8819,40.06701,54.14422,28.15526,25.85898,552.3185,51.43131,17.16618,333.8106,252.2434,105.5858,75.62213,36.48358,51.94198,1290,656.6754,2130,201.981,337.19,606.252,45.35706
"113",113,"Factor #113",10.2751,37,36.11276,232.0791,295.974,409.2793,332.6112,347.2411,316.2444,430.9143,264.7175,315.7307,247.4205,426.3414,1046.018,296.7355,41.37078,520,930,474,555,36.32147,47.06847,287.2744,18.29078,25.98342,337.5939,365.5724,356.0041,289.4492,36.40122,32.82881,1158,532,378.3487,30.14815,722,313.1523,25.222
"115",115,"Factor #115",10.3864,37,36.73703,419.8067,413.996,354.3505,597,656,652,461,364.7398,345.2599,560.5292,217.4971,3957.912,588.4381,46.15429,193.7647,3862.708,177.0226,221.9677,98.573,34.91455,488.0121,62.27468,62.48909,1703,171.8265,100.8972,288.5121,50.08888,63.51018,3989.354,160.7988,2016,110.3287,326.2181,2012,87.6218
"116",117,"Factor #117",10.4101,37,39.94887,65.11722,244.7862,221.4893,110.6773,194.6328,164.2425,141.1298,49.58971,327.8223,189.7464,79.649,128.8853,105.0682,836,58.83427,80.52268,51.21236,51.63966,318.9374,587,204.5063,796,943,119.7996,70.74982,31.5603,47.647,631,656,125.5169,86.68094,123.583,532.6169,11.99638,80.54255,480
"117",116,"Factor #116",10.4201,37,29.65635,200.187,395.3214,311.3603,227.492,656.1711,651.6153,475.5787,273.1378,394.126,600.6764,246.4085,4266,588,61.48053,193.7647,4295,303.1639,202.8852,129.0734,52.62512,594,24.02845,71.86346,452.9095,99.09357,90.28382,312.5609,56.15324,68.90172,4501,115.6257,53.608,38.51868,332.4247,2035.132,143.0768
"119",118,"Factor #118",10.475,37,15.98276,383.2636,368.3039,492,349.9667,446.9365,407.3036,443.8855,283.7352,498,1875,101.1227,583,2044,162.6258,148.3007,650.3509,110.7495,149.1584,171.8582,662.8726,2186,172.7986,154.0102,636,390.385,354.0425,98.4573,649,690,572,262.7517,578,146.7211,144.0478,598,159.2544
"120",121,"Factor #121",10.4759,37,12.84984,383.2636,405.7086,364.9346,349.9667,446.9365,369.4857,443.8855,324.4671,497.6519,1808.707,101.1227,582.5481,2032,174.5625,113.9697,644.4371,109.3118,149.1584,171.9707,655.0352,2186,172.7986,154.0102,552,390.385,354.0425,105.1351,742.1598,689.7567,572.389,262.7517,577.6324,168.8229,144.0478,625.1545,159.2544
"121",120,"Factor #120",10.4931,37,15.01469,383.2636,405.7086,492.3355,349.9667,446.9365,407.3036,443.8855,283.7352,497.6519,339.6951,101.1227,588.0436,837.5109,122.5388,83.70746,364.5632,96.97566,138.4008,113.0951,663,893.854,172.7986,126.4759,636.5044,324.9104,354.0425,42.36944,720,689.7567,580.3766,262.7517,577.6324,168.8229,144.0478,656,159.2544
"123",123,"Factor #123",10.7582,37,126.7852,368.6435,2959,2197,734,1767,354.1501,1842,602,5175,18619,1068,737,6587,529,139.2472,181.1904,116.4521,68.84811,78.44772,231.0661,8182,720,159.0796,186.0133,304.0383,96.34816,94.3011,226.0238,547,264.2405,71.72573,440.7102,327.6453,118.176,254.9046,84.95638
"124",124,"Factor #124",10.8642,37,11.27987,156.3777,204.1559,292.1081,139.4374,145.5428,194.6981,172.5496,137.6037,278.7725,349.163,55.89216,33.1523,381.4982,121.9561,51.33862,33.93402,41.46349,32.90424,62.06121,430.1223,330.8735,121.3608,123.5734,2589,423.7358,347.1196,64.80496,418.0412,424.775,37.37672,444.5702,2253,107.2633,55.34409,2831,101.676
"125",125,"Factor #125",10.9307,37,123.6081,354.6318,260.1514,626,309.4461,1023,538,328.5671,177.1726,196.5402,4144,884,569,458.8949,536,269.6844,289.2662,253.865,267.7286,325.171,248.5603,215.9693,5701,1374,726,452,395.0087,296.5104,458.6053,393.1519,224.5501,285.7631,250.7609,297.371,4570,683,478
"127",127,"Factor #127",11.1031,37,87.16989,1421,3503,3163,1538,3612,2443,2820,1559,3290,525.0799,54.76607,170.8474,563.5668,56.83189,1905,268.5306,112.4334,2110,131.4559,180.4638,652.4635,80.47698,59.1449,14005,384.3024,212.75,87.96936,58.16572,72.59245,289.5707,125.0493,14220,658,2828,18462,565
"129",129,"Factor #129",11.2754,37,25.50404,238.8683,186.1806,244.3123,248.7552,206.0607,242.3212,290.0429,165.2588,201.8099,111.9678,317.9694,876,181.4042,49.08955,213.6525,979,316.6336,205.4334,54.02268,33.21437,131.2884,53.25379,70.79702,162.2567,381.2915,261.0888,330.2158,19.17449,31.94536,1039,337.7411,127.3957,33.32576,180.9535,142.2218,42.1647
"132",130,"Factor #130",11.3527,37,8.789434,651,886,844,479.2476,881,854,810,811,998,2853,47.01266,830,3387,81.15422,489.5731,813,55.2469,511,66.18766,108.9676,3466,66.95009,64.93732,1371,600,655,75.49601,110.4803,71.08565,806,652,1147,83.00956,572,1402,102.0481
"133",133,"Factor #133",11.7107,37,36.34036,307.1397,751,766,640,1742,421.8951,808,301.8889,1218,112.93,246.8053,1308,89.20382,44.66078,152.2659,1384,221.5497,188.3764,186.2456,193.948,67.82827,48.79971,59.23149,661,5836,5378,393.3437,267.2125,189.4144,1921,8607,2531,504,400.7914,793,269.7663
"135",135,"Factor #135",11.9407,37,3.742722,112.2145,247.3237,214.8703,132.2042,223.7552,196.1971,156.9128,110.2637,217.9795,109.1478,81.7406,425.5769,113.3002,35.59732,127.3519,452.8492,88.26084,109.329,602,260.3861,92.67278,40.51917,40.10701,195.9806,429.1618,409.1964,88.73751,232.8734,247.0177,475.0971,499,254.4766,793,131.843,61.41874,634
"136",136,"Factor #136",12.017,37,41.58606,391.0561,507,623,675,869,626,672,360.0669,454,136.8486,43.4233,59.83317,156.7604,15.95881,238.0688,44.03834,40.3158,207.7565,39.41342,33.02066,123.3858,40.87339,43.5056,4644,150.1107,81.05071,33.46375,40.72852,38.88706,124.9166,118.4992,6919,231.4506,756,6269,138.2911
"137",137,"Factor #137",12.3116,37,26.2817,152.9672,176.9878,70.54845,174.6747,254.1297,181.5711,46.29525,117.3532,153.5713,83.22844,17.20726,49.90218,99.29622,24.42962,304.5457,39.72009,21.35818,333.2492,28.84812,28.23129,79.06878,9.241266,6.449747,710,65.32385,29.38545,32.35377,27.81706,31.0226,34.66904,77.4367,737,21.74024,290.0476,787,14.09039
"138",138,"Factor #138",12.4946,37,36.11736,101.3645,1608,1389,738,2306,311.3773,1110,165.997,1950,563.6059,58.55613,154.092,499.4513,34.98705,190.7311,74.75685,47.68092,137.965,41.53695,24.05393,371.0874,25.53745,27.37304,2212,221.2078,77.56923,85.9819,29.34546,48.43354,377.4522,240.493,8403,568,1430,2640,93.14135
"140",139,"Factor #139",12.5069,37,41.43158,140.8003,163.141,153.709,111.9681,152.3031,152.7247,97.64889,109.6078,144.7222,929,80.93433,54.51352,898,48.39238,37.56531,35.76379,81.68676,45.09037,37.74779,42.22165,1095,33.46699,12.76566,78.33297,43.89959,43.6417,96.53936,32.71208,36.8656,33.31511,39.89568,376.4765,31.87684,94.14764,101.62,33.66639
"142",143,"Factor #143",12.7086,37,8.500065,1472,967.073,891,1201.443,1140.936,1295,783,1694,573,27.64619,69.51544,11.63952,223.8604,63.45724,121.4542,40.41036,34.07822,7.689042,3.544905,25.28122,34.77243,1945.822,37.0595,297.59,1.896442,17.71381,42.4054,37.94253,11.79479,14.07339,105.8094,71.06112,10.20104,26.61135,146.2365,26.09253
"143",142,"Factor #142",12.7166,37,39.02909,456.3846,321.9979,1034.401,396,2127,920.7255,658.7413,82.1665,69.10207,12857,1472,927,712,550,355.5559,283.1626,262.2841,254.5859,221.4678,205.8371,177.6361,24744,2334,1336,653,568,414.9963,466.9469,397.2668,307.4912,375.4956,341.6317,241.0704,22950,1181,761
"145",151,"Factor #151",13.5445,37,378.8369,2411.387,15076.7,13499.31,8176.209,17167.94,4673.818,10640.4,3006.891,16327.54,3452.273,439.8877,1331.112,1550.186,71.17472,5669.505,1188.77,354.9711,5590.269,434.3083,468.2874,1659.115,163.5506,53.20594,22432,1675.182,739.2119,500.0353,148.8661,121.5919,2559.391,910.6926,55776,5433.651,18942,25373.3,1462.376
"146",145,"Factor #145",13.5455,37,557,2758,18584,16884.83,10430.47,20908,6086,13194.9,3761.585,21263,4224,750.2464,2162,2086,172.0368,6800,2529.139,705.4181,6962,530.4668,530.0548,1891,206.7969,85.85296,28936.8,2222,924,721,161.0638,189.9268,3918.489,1109,71027,7167.938,23676.27,31680.33,1930
"147",150,"Factor #150",13.5473,37,260.0889,1794.252,15076.7,13499,7746.051,16702.3,4536.152,9803.974,3006.891,16327.54,3452.273,468.5785,1260.67,1254.745,141.4392,5669.505,654.9916,325.9558,4583,434.3083,452.711,1113.337,169.6488,152.4315,22432,1641.967,687.9898,500.0353,151.1787,182.8404,1730.031,551.2577,55776,5433.651,13458,23677.03,1462.376
"148",146,"Factor #146",13.5489,37,556.6906,2491,18584.33,16885,10536,21597.31,6086.466,13195,3859,21262.63,4224.427,750.2464,2566.823,2086.362,185.5619,6800.057,2426,705.4181,7010.822,502,441,2048,221.3008,72.12294,28937,2222.002,938.9956,817.1086,161.0638,189.9268,3990.965,1127.572,72156.1,7168,23676,31900,1955.515
"149",148,"Factor #148",13.5526,37,556.6906,2757.927,18584.33,16884.83,10535.58,21597.31,6086.466,13194.9,3859,21262.63,4224.427,750.2464,2569.514,2086.362,133.9047,5588,2433.902,705.4181,7010.822,530.4668,549.195,2048.365,156.2835,64.67756,28936.8,2222.002,938.9956,817.1086,122.0202,87.86365,3990.965,1127.572,72156.1,7167.938,23676.27,31900,1955.515
"152",152,"Factor #152",13.5988,37,299.8621,303,408.7957,366.4587,312,401.8145,400,380,236.3129,389.2682,262.4931,301.4728,438.7251,233.6023,279.1834,269.8552,444.6063,233.5208,272.137,234.5481,214.3496,227.253,323.8489,279.5056,405.6887,286.4087,285.5576,237.3618,310.3437,253.3495,453.2359,349.3505,9480.146,352.3098,2186.156,371.3186,362.1556
"154",154,"Factor #154",13.9768,37,701,352.6667,365.1287,369.3698,401.2281,436.2454,476,443.2946,374.354,413.5216,348.1644,334.4352,267.5368,288.9936,323.0264,311.0685,301.876,297.7716,360.9472,326.4082,304.236,281.6991,371.9044,389.9555,357.8769,270.6231,309.8088,387.991,379.4266,347.0766,248.9944,354.3885,423.7901,517,365.762,475,459.5099
"155",155,"Factor #155",14.3747,37,86.12523,958,600,1825,727,5376,2228,1271,261.5694,210.6853,41744,3018,1753,1297,1146,628.6699,656,561,462,461.6785,454.5065,396.8879,96380,4974,2426,1105,963.7681,715,833,757,584,610,519.7997,580,97604,2413,1441
"156",156,"Factor #156",14.4877,37,68.19817,618,455.752,355.0106,794,806,1111,423.7883,128.1254,755,2209,176.4167,116.8482,1158,401.6884,439.9689,421.5821,224.8544,447.0842,573,856,673,437.3229,232.4937,433.9016,420.4346,383.6632,265.0926,248.5968,345.7725,1879,362.9768,614,499,3466,1835,802
"158",157,"Factor #157",14.6574,37,54.76536,184.904,4011,1199,2862,7698,165.5091,2377,197.7705,6267,2473,228.212,992,1061,209.4932,215.9902,308.7902,243.5209,619,400.9807,676.6574,338.0733,271.3913,36.72459,89.09168,474,239.9372,197.6469,150.523,124.96,4485.654,1135,2346,770,7525,1778,393.4855
"159",159,"Factor #159",14.8877,37,29.81614,99.6455,330.405,418.7971,152.2742,472.1606,252.2421,314.0461,92.24137,334.1702,77.0403,51.49892,16.88852,67.35737,48.89222,143.6881,37.48689,37.5299,139.2312,51.46856,48.89223,45.92422,81.25664,48.37284,1104,69.39155,25.31819,38.32275,41.22621,27.78167,51.20203,18.89088,1319,100.599,400.3855,2001,74.79364
"160",160,"Factor #160",15.3901,37,208.1797,342.3175,713,455,621.7696,677,657,666,350.1638,712,232.8479,185.7388,207.3085,159.0998,479,207.7413,137.3707,162.0758,169.4082,478,483.5512,198.0349,605,431.1422,248.8035,217.0769,146.4989,249.1023,502,792,263.9444,233.9684,363.0928,985,328.3932,354.3039,640
"163",163,"Factor #163",15.6803,37,138.3931,658,1319,1089,1160,9785.187,1781,1255,581,1115,40965.34,1799,2816,595.0221,686.5219,997,2220,1313,1367,200.732,191.2086,350.3336,88078.34,7106.528,1356,515,448.4914,1460,456.8175,321.278,3312,830,2182,331.0211,80674.31,1851,946.658
"164",164,"Factor #164",15.7023,37,260.1768,1396,928,2684,1045,25528,5505,1775,367.8035,547.5179,104553,6899,2967,1954,1693,1274,1071,994,832,695,631,639,227424,18213,3860,1658,1367,1313,1017.125,1014,1634.268,995,1016.058,799,207061,5282,2317.885
"165",165,"Factor #165",15.7859,37,421.1588,340.5725,471,556,397,495,379,462.603,307.7124,466,698,340.6159,270.8395,622,162.9421,239.0032,181.4335,188.9014,275.5903,123.82,398.8181,577,180.4049,135.8889,889,293.3114,294.8475,321.1295,454,501,219.9782,265.2012,666,198.8865,358.974,799,174.7372
"167",168,"Factor #168",16.3315,37,368.3691,1498,407.2682,19598.07,1427.971,45484,12071.75,11969.31,236.7282,294.2151,79267,12158,3844.127,2636.512,3085.878,1417.703,847.0974,790.862,651.8345,493.7076,513.0445,358.677,398526.6,34832.56,20391.57,10161.84,5593.466,4238.703,2653.801,2193.858,1507.62,1028,1004.204,678.3449,493957.8,29172.01,16838.8
"168",167,"Factor #167",16.3322,37,368.3691,1421.2,407.2682,19598,1428,45484.2,12072,11969,236.7282,294.2151,79267,11912.75,3841,2637,3086,1418,786,791,652,494,489,397.0815,398527,34833,20392,10162,5562,4239,2654,2194,1508,1195,949,636,493958,29172,16839
"169",169,"Factor #169",16.6172,37,10.75134,146.0059,353.8625,682,171.8379,429.5548,301.722,462,197.9045,410,33.27605,33.82191,33.19015,26.86716,16.65999,98.99345,38.17802,52.74943,107.0149,38.83294,54.23764,37.35405,39.47066,41.2262,1893,132.4289,89.63991,68.83149,53.12443,41.78821,88.52185,44.77041,2966,405.7075,238.7016,2141,331.7294
"170",170,"Factor #170",16.8032,37,803,2293.571,1430,5688,1736,77815,11089,3468,965,1013,118912,18151,4905,2913,2565,1797,1560,1454,1292,1243,1190,1034,279539,74116,13552,2908,2576,2005,1766,1704,1347,1520,1271.962,1318,209870,24807,7827
"171",171,"Factor #171",16.8035,37,602.0056,1691,1114.285,4227.398,1398.85,77815,10071.93,2748.226,759.33,805.4548,101504.8,14488.41,4061.7,2422.147,1897.039,1564.902,1294.489,1263.304,1082.964,991.9023,1041.751,969.4949,223475.9,59341.63,10782.34,2481.66,1986.624,1600.018,1472.006,1333.943,1194.076,1302.273,945,1141.41,168908.5,20458.64,6123.053
"173",173,"Factor #173",17.3389,37,49.34934,983,114.8276,1099,258.704,156.3491,645,374.5517,75.96907,164.4385,62.77159,101.9415,170.6315,171.7807,96.67368,262.9921,150.0901,1088,276.0774,233.7016,111.6219,96.63854,53.37222,214.1812,119.6631,612,239.2258,186.034,186.5332,215.3902,159.9472,177.1052,204.5687,180.272,82.36336,114.8857,127.3804
"174",174,"Factor #174",17.4288,37,109.0591,1607,186.936,280.1924,132.8345,258.1774,168.6364,219.9846,139.8143,123.4316,218.2399,91.80235,1000,275.2956,178.4243,300.2141,399.6967,307.8601,206.9491,142.0681,122.7466,216.8239,972,1505,301.5544,208.2127,274.9953,184.0923,132.3044,138.1262,71.23994,279.5705,166.6381,113.796,190.5269,110.8524,188.122
"175",176,"Factor #176",17.8153,37,426.3737,3641.486,1184.101,13960.89,1490.558,89555,14675.48,6032.529,792.5106,851.6139,72080.32,21406.02,7905.519,5364.497,2481.938,1266.516,1350.385,1187.724,1061.6,730.7161,766.9628,1994.771,189025.4,98618.63,32664,6086,3692,2486.745,1475.882,1378.327,1011.952,1161,1276.568,975.5565,144668.7,49762.38,24318.95
"176",175,"Factor #175",17.8157,37,416.1763,3641,1319,13960.89,1491,89555,14675,6033,783,900,72080,21406,7906,5364,2482,1604,1350,1179,1062,731,767,2039.855,189025,98619,32664,6086,3899,2487,1522,1381,1140,1161,1350,973,144669,49762,24319
"177",177,"Factor #177",17.817,37,426.3737,3641.486,1319.173,13961,1499.579,3657,14675.48,6032.529,792.5106,900.3594,72080.32,3882,7905.519,5364.497,2481.938,1604.2,1350.385,1187.724,1061.6,763.8401,766.9628,2039.855,189025.4,98618.63,32664.45,6086.218,3898.823,2486.745,1521.735,1380.827,1140.308,1160.586,1350.024,975.5565,144668.7,49783.68,24318.95
"178",178,"Factor #178",17.8901,37,303.4251,237.8721,458.5729,412.342,268.2247,526.9583,504,358.0993,122.1749,483,377.8597,272.0893,165.8574,298.2428,391.023,352.0586,363,349.1854,116.355,316.5802,240.9547,352.0386,264.4746,271.5733,289.0729,295.1118,322.2124,456.801,300.4773,303.2583,235.073,266.2209,352.5923,275.5402,380.8626,477.3543,392.7587
"179",179,"Factor #179",18.0943,37,41.31704,39.50917,46.40209,199.7867,44.64037,92.81752,128.3292,97.92463,24.5331,70.04605,43.83993,34.80677,38.51738,26.60251,20.87982,39.81862,31.10626,24.54538,28.59309,27.57988,33.23553,28.19365,36.57212,41.43269,975,46.53308,20.90271,28.88465,17.95373,37.96513,41.67448,13.36921,992,122.6899,51.25332,1046,172.8343
"180",180,"Factor #180",18.6385,37,170.7995,752,228.1556,10306,1357,30483,7642.564,6061,87.6193,115.6077,44931,6217,2035,1311,1067,568,408.2281,407.1636,255.9385,327.4266,281.3573,245.4428,226489,20937,8793,7404,5256,3358,2227,1987,1233,1049,947,932,321310,14865,9900
"181",181,"Factor #181",18.6395,37,75.05213,632.6741,218.6121,7257.401,1109.914,24306.46,7283,4805.365,66.74901,24.55183,37187,5181.163,1706.912,1143.044,857.5822,525.0582,392.9229,379.4245,254.4342,248.0316,237.4116,173.9383,177240.6,16919.29,6900.308,6110.161,4354.665,2560.827,1882.9,1499.559,853,957.7459,704.6917,719.2142,254617.6,12162.82,7920.973
"182",182,"Factor #182",18.6401,37,170.7995,751.8615,231.7413,10306,1357.489,30546.93,7643,6060.556,87.6193,13.14736,44930.67,6383.966,2128.785,1310.681,1066.703,574.1663,417.1707,419.0923,253.0303,327.4266,267.3451,245.4428,226488.7,20936.76,8793.407,7404.115,5256.453,3357.97,2227,1986.972,1232.539,1048.683,969.8776,984.0355,321310.3,14864.86,9899.716
