"","AlignID","Factor","tmean","FoundIn","4_Blanco","15_QC1_4","21_Qc2_2","28_Qc3_3","34_Qc1_2","41_Qc2_4","44_Qc2_5","45_Qc3_2","7_Qc1_5","8_Qc2_3","10_RIG003_1","11_Sample_FIED001_2","12_Sample_RGY001_3","13_Sample_RIG003_3","14_Sample_RYTA006_2","16_Sample_RYMG001_3","17_Sample_RGY001_1","18_Sample_FIED001_1","19_Sample_RYMG001_2","20_Sample_ER001_1","22_Sample_ATA001_2","23_RIG003_2","25_Sample_RYTA006_3","26_Sample_RYTA006_1","27_Sample_RIG005_3","29_Sample_RGB004_1","30_Sample_RGB004_3","31_Sample_FIED001_3","32_Sample_ATA001_3","33_Sample_ATA001_1","35_Sample_RGY001_2","36_Sample_RGB004_2","37_Sample_RIG005_1","38_Sample_ER001_2","40_Sample_RYMG001_1","42_Sample_RIG005_2","43_Sample_ER001_3"
"37",37,"Factor #37",5.5595,37,132.8838,155.8562,64.40159,630,479.7724,192.6182,88.91816,272.0902,138.4129,135.8417,105.4632,165.9863,140.0951,156.051,117.029,64.70956,106.2019,29.70887,41.58143,107.2508,130.3379,67.72164,218.9689,128.9582,180.9037,569,426.035,213.5702,113.2458,458,471,665,1084,1437,236.8652,205.0702,175.7739
"38",38,"Factor #38",5.9692,37,5.772325,171.0191,645,413.8873,458,642,296.2606,477,187.755,520,57.32072,255.8807,779,115.1706,158.0941,137.8413,347.7933,314.2862,127.6235,74.58499,296.2427,80.35716,383.9894,173.876,129.8185,145.9512,105.0838,321.3083,381.5055,731.4831,157.8404,279.1611,291.4146,43.52415,44.53443,183.8957,61.85569
"39",39,"Factor #39",5.9745,37,43.22601,21.01682,86.81394,72.72537,32.26421,5.340736,31.17111,13.59387,11.8588,96.2526,11.89358,26.20969,29.16435,23.487,478,21.76185,17.43118,37.62728,37.05973,117.7039,437.8883,10.45672,538,555,34.0565,22.3596,18.15531,30.37154,415.0846,512,27.19126,11.8434,26.42331,142.8617,30.32678,5.531887,141.395
"40",41,"Factor #41",6.0922,37,43.89538,849,1083,837,350.7056,747,774,806,1044,1200,7664,160.6365,66.40528,8500,33.21058,26.68382,96.65909,146.8165,37.27417,31.54544,27.58068,9263,8.965273,25.53473,232.0457,16.13009,34.94095,191.9621,38.36839,51.96296,33.00327,29.08043,231.1854,23.93654,49.13538,261.6864,50.80982
"41",40,"Factor #40",6.1097,37,31.43333,161.0617,28.17421,61.98572,185.4578,264.3733,57.02313,300.5064,161.5435,250.774,89.46725,137.202,1402,210.9803,40.64597,33.32871,978,208.011,34.91519,32.51831,32.43919,117.0074,14.77934,21.33272,21.30305,20.26094,13.858,210.5426,37.62337,29.33253,1436,94.91688,35.51643,17.39341,33.39807,45.1085,28.33176
"42",42,"Factor #42",6.2072,37,40.63123,172.2258,299.5018,211.6926,321.2099,403.6129,174.3768,352.7057,246.4553,434.4662,103.7187,325.74,2120,165.5341,100.9912,54.5234,1173,330.6937,65.5752,44.30288,84.18089,109.7403,90.2693,83.69742,27.28884,36.91263,44.69861,359.2091,78.07399,84.93623,1892,95.35194,28.99168,38.08622,46.8135,53.89044,44.61962
"43",43,"Factor #43",6.3753,37,25.78683,438.2173,481,445.0672,139.7064,363.271,392.4832,365.9824,513,486,55.55269,118.9548,107.4973,55.46507,42.31413,473,109.5824,101.0192,498,64.56894,52.07139,61.39502,38.37341,48.49341,3770,125.1768,149.2504,121.9959,53.45961,53.94671,125.4571,110.0923,3235,56.031,598,4220,44.31598
"45",48,"Factor #48",6.5077,37,156.5581,31700.08,20067.92,13384.26,32462,29993.86,35824.76,20691.3,21249,11912.8,23063,1052.632,1388.18,25373,403.586,4565,1511.482,929.1414,4426.448,697.1606,801.7413,25209.32,401.9092,356.2086,53803.01,11386,11505.85,1128.245,740.7251,788.3299,1639.137,12610.42,53170.71,1237.825,5854.256,55648.28,1119.763
"46",44,"Factor #44",6.5085,37,260.4923,32851,22057,15279,36666.53,32600,38380,23449,22752.08,13748,23849.3,1094,1621,26911,403.586,4639,1552,1029,4566,738,885,26670,386.0652,376.5668,55669,12144,11991,1194,802,915.4711,1838,13977,56337,1512,6041,59196,1145
"47",45,"Factor #45",6.5086,37,237.8982,32851.16,21387.05,14526,35373,32548.84,38380,22468,22803,13008.42,23849,999.4743,1621.419,26910.7,456.3314,4638.704,1551.899,1037.044,4565.887,705,927.4697,26670,400.4119,380.0873,55669.29,12192.32,11991,1137.883,821.094,884.8239,1837.987,13993,56337.22,1376.846,6040.804,59196.11,1145
